strain,temp,stress
0.4200969,0.333333333,0.835579745
0.86029003,0.5,0.623570234
0.01589892,1.0,0.277684278
0.549077095,0.833333333,0.324800014
0.567334595,0.5,0.685952828
0.74520432,1.0,0.095983392
0.63930822,0.333333333,0.730061288
0.07208335,0.333333333,0.801569996
0.24736401,1.0,0.241607224
0.048768215,0.066666667,0.825124371
0.073797075,0.333333333,0.802031179
0.20197531,0.066666667,0.881480787
0.014890935,0.833333333,0.383079832
0.01653228,0.333333333,0.66127496
0.11609716,1.0,0.26465214
0.71439112,0.5,0.668565358
0.392547905,1.0,0.219474533
0.501048125,0.5,0.694353829
0.01509353,1.0,0.277285086
0.1164624,0.833333333,0.426772769
8.1e-05,0.333333333,-0.002055634
0.27199639,0.066666667,0.89774589
0.069099635,0.833333333,0.440787758
0.19494976,0.5,0.72061197
0.089106835,0.5,0.717428463
0.18316642,0.5,0.721131344
0.77292356,0.5,0.656960181
0.356309625,0.066666667,0.908966369
0.654669935,1.0,0.151089381
0.21762785,0.066666667,0.885928152
0.05791568,0.833333333,0.444085542
0.358411585,0.833333333,0.374035601
0.06862822,0.333333333,0.800563066
0.59841329,0.333333333,0.794487733
0.639317135,0.5,0.678926965
0.14037702,0.5,0.720963322
0.185413545,0.066666667,0.876508528
0.570930775,1.0,0.181387279
0.825315495,0.5,0.6415767
0.004872835,0.333333333,0.24020051
0.41792776,0.333333333,0.835546227
0.494283935,0.333333333,0.829033691
0.28633065,1.0,0.235689466
0.631337115,0.5,0.679626255
0.36277195,0.833333333,0.372945511
0.2217162,1.0,0.245562131
-0.00181367,0.833333333,0.000369352
0.016886765,0.066666667,0.589038135
0.270696695,0.833333333,0.39157427
0.20072741,0.333333333,0.834816964
0.21761426,0.333333333,0.83747527
0.117956385,0.333333333,0.816420706
0.474379755,0.5,0.697351447
0.268553385,1.0,0.237747635
0.046775715,0.833333333,0.447409263
0.659257445,0.5,0.676287391
0.36548555,0.5,0.708750015
0.174636265,0.066666667,0.872981492
0.922898245,0.5,0.560352665
0.15030683,0.5,0.721628715
0.007304565,1.0,0.243437528
0.289443625,1.0,0.235266392
0.52693589,0.066666667,0.795532128
0.46114356,0.833333333,0.351130349
0.179822815,0.333333333,0.831350965
0.74915439,0.833333333,0.199991446
0.8037604,0.5,0.649091978
0.34053342,0.333333333,0.84017692
0.33013515,0.333333333,0.840163223
0.105879005,0.833333333,0.429238494
0.40253544,0.5,0.70476652
0.10135511,0.333333333,0.811506895
0.189552075,0.833333333,0.407880391
0.512953485,1.0,0.196870701
0.685851165,0.833333333,0.253416158
0.781031515,0.833333333,0.131178403
0.570692865,0.333333333,0.814286549
0.25118847,0.333333333,0.83983387
0.488168215,0.5,0.695863288
0.523211305,1.0,0.19454654
0.01999487,0.5,0.681852083
0.00194402,0.066666667,0.01497768
0.35205087,0.066666667,0.908546139
0.365453375,0.333333333,0.838750734
0.003887235,0.5,0.151662098
0.535119855,1.0,0.191570986
0.72494265,0.833333333,0.222289536
0.81046653,0.5,0.646750938
0.02281649,0.833333333,0.423109688
0.477826345,0.5,0.697001397
0.485642635,0.066666667,0.850586912
0.601697245,0.833333333,0.303914176
0.01039965,0.333333333,0.451603603
0.81318087,0.5,0.645809095
0.12567462,0.833333333,0.42359042
0.01106455,0.833333333,0.322514736
0.008045515,0.833333333,0.251039621
0.25890472,0.333333333,0.840069389
0.643324365,0.833333333,0.281769585
0.232815135,0.066666667,0.889433932
0.043075875,1.0,0.277911271
0.329203035,1.0,0.229054701
0.93217467,0.5,0.545739969
0.581389375,0.333333333,0.808425109
0.275362865,0.5,0.716591063
0.136762295,0.5,0.721005287
0.34002112,0.5,0.711192524
0.74979002,0.5,0.662479235
0.21930406,0.066666667,0.886384147
0.23916031,0.333333333,0.838989876
0.151443785,1.0,0.257764635
0.03350975,0.333333333,0.789157088
0.45962215,0.5,0.698852889
0.360790405,1.0,0.224673825
0.025041715,0.066666667,0.787511602
0.01115615,0.5,0.428577848
0.234107275,0.5,0.719049886
0.490622965,0.333333333,0.829518763
0.382230375,0.333333333,0.838238034
0.010849165,0.833333333,0.318590963
0.460901605,0.333333333,0.831887865
0.440849865,0.333333333,0.833880361
0.017096195,0.066666667,0.596900524
-0.001715445,0.833333333,-1.32e-05
0.053426925,0.833333333,0.445557014
0.663198215,0.333333333,0.0
0.26093758,0.5,0.717783594
0.005992115,0.333333333,0.278826078
0.263260745,0.333333333,0.840548142
0.03771411,0.066666667,0.820106296
0.64694273,0.333333333,0.711023552
0.547379125,0.833333333,0.325561716
0.548800435,1.0,0.187880575
0.15912284,0.333333333,0.826950674
0.94568644,0.5,0.521091167
0.641419715,0.333333333,0.724774702
0.18888668,0.066666667,0.877658506
0.25222315,0.066666667,0.893961435
0.057786185,0.066666667,0.82911687
0.59074965,0.333333333,0.802075918
0.01411994,0.5,0.528537023
0.17395248,0.5,0.721515519
-0.00133185,0.833333333,-0.000554079
0.289466795,0.066666667,0.900894488
0.35307512,0.066666667,0.90874347
0.450854845,0.333333333,0.832912981
0.663646585,0.833333333,0.268932033
0.83974478,0.5,0.635182265
0.45195949,0.333333333,0.832695134
0.39645106,0.833333333,0.36631849
0.67365534,0.833333333,0.262212832
0.24800012,0.833333333,0.395722034
0.144829875,0.5,0.720814704
0.488163735,0.333333333,0.829767072
0.15927769,0.833333333,0.415274166
0.414295385,0.5,0.703776471
0.16241802,0.066666667,0.86882857
0.348088045,0.066666667,0.908215683
0.584948965,0.833333333,0.311516789
0.476098815,0.333333333,0.830832973
0.01103643,0.333333333,0.476388338
0.44172567,0.5,0.700771115
0.007220275,0.833333333,0.231657957
0.712009115,0.833333333,0.231709629
0.25808114,0.5,0.718075142
0.258638475,0.833333333,0.393302055
0.0759975,0.833333333,0.438782115
0.302518205,0.333333333,0.841154517
0.028844735,0.066666667,0.806548574
0.272200105,0.333333333,0.841232358
0.482342285,0.5,0.696331387
0.167368385,0.066666667,0.870545302
0.67782336,0.5,0.673707693
0.589412905,0.333333333,0.803048084
0.24427939,1.0,0.242037547
0.22356289,0.333333333,0.837812359
0.11992081,0.833333333,0.425719103
0.244668515,0.5,0.718855834
0.005376815,1.0,0.204571686
0.000108,0.333333333,-0.001744061
0.778590425,0.833333333,0.140037077
0.062183735,0.066666667,0.831009625
0.70588357,1.0,0.123913593
0.82665595,0.5,0.640996968
0.186285615,0.066666667,0.876852402
0.963565395,0.5,0.0
0.037230685,1.0,0.278576446
0.219839045,0.833333333,0.40191348
0.85892451,1.0,9.32e-05
0.308807295,0.833333333,0.383679417
0.577432305,0.333333333,0.810947765
0.04105711,1.0,0.278087701
0.46824039,0.066666667,0.870652952
0.11482772,1.0,0.2649124
0.062785775,1.0,0.275031013
0.134322085,1.0,0.261294877
0.566621505,0.333333333,0.816321336
0.04142402,0.066666667,0.821933952
0.53184281,0.5,0.69053432
0.77036859,1.0,0.071113185
0.46865675,0.5,0.697754137
0.119623735,0.333333333,0.816713162
0.426365515,0.5,0.702579768
0.59183646,1.0,0.175251776
0.15748948,0.066666667,0.867160531
7.15e-05,0.333333333,0.000922428
0.280171905,0.333333333,0.841061062
0.643385505,0.5,0.678442286
0.171359265,0.066666667,0.871698223
0.602055135,0.333333333,0.790707759
0.267977955,0.833333333,0.39211213
0.18283485,0.066666667,0.875649468
0.79853774,1.0,0.038675542
0.01325996,0.5,0.501197784
0.018632825,0.5,0.657816265
0.80435892,1.0,0.033101708
0.60382731,1.0,0.170975513
0.55723469,1.0,0.185512253
0.013057055,0.066666667,0.434023718
0.28014772,0.833333333,0.389518545
0.158319965,0.333333333,0.826725566
0.45051092,0.833333333,0.353757748
0.111488815,1.0,0.265460825
0.88606534,0.5,0.603776493
0.86155944,0.5,0.622758804
0.125674175,0.066666667,0.855976888
0.36287118,0.066666667,0.909541333
0.001787015,0.833333333,0.085479704
0.070234375,0.833333333,0.440469252
0.12437601,1.0,0.263284743
0.05896866,0.5,0.71374871
0.029644075,0.833333333,0.443356569
0.312557215,0.5,0.713186255
0.25460568,0.333333333,0.840051322
0.113868025,0.333333333,0.815194656
0.71996652,0.5,0.667862766
0.24467737,0.066666667,0.892378794
0.66774137,0.833333333,0.2663987
0.09426104,1.0,0.268928797
0.276132995,0.833333333,0.390373374
0.19900419,0.333333333,0.834620491
0.5958672,0.333333333,0.797201284
0.901138775,0.5,0.588525196
0.10802665,1.0,0.266111238
0.04115389,0.333333333,0.791536536
0.02009993,0.066666667,0.704064665
0.07546101,0.5,0.716105898
0.02374801,0.833333333,0.426693297
0.138394355,0.333333333,0.822041301
0.1747282,0.333333333,0.830485556
0.460756455,0.5,0.698783302
0.104260755,0.5,0.719062414
0.392233405,0.066666667,0.910509064
0.51447551,0.333333333,0.826919696
0.257106695,0.5,0.718166084
0.811874735,0.5,0.646250635
-5.05e-05,0.333333333,0.004546753
0.526226805,0.333333333,0.825350315
0.08815621,0.066666667,0.841362659
0.88128355,0.5,0.607694728
0.254180735,0.5,0.718474473
0.58857329,0.5,0.684868982
0.19233936,0.333333333,0.833467791
0.01204592,0.5,0.458149317
0.552577985,0.5,0.688555928
0.40368793,0.833333333,0.364705178
0.068135,0.5,0.715079604
0.574630715,0.5,0.68588617
0.60552284,0.833333333,0.302281674
0.53147837,0.333333333,0.824634243
0.062324375,0.833333333,0.442592413
0.657906885,0.5,0.676399161
0.53307555,0.066666667,0.785483376
0.499862015,0.5,0.694544214
0.229515715,0.5,0.719406465
-0.000496,0.833333333,0.007243123
0.058659135,0.066666667,0.829543693
0.394091465,0.5,0.705481476
0.165270885,0.833333333,0.413987348
0.00577657,1.0,0.213985606
0.928637165,0.5,0.551522372
0.02281156,0.333333333,0.767616604
0.490519805,0.5,0.695720662
0.912734495,0.5,0.574754079
0.31130094,1.0,0.232113642
0.00322176,0.066666667,0.052620828
0.00839702,1.0,0.25656511
0.06481874,0.066666667,0.831962896
0.13429791,0.333333333,0.821147417
0.651192485,0.5,0.67699975
0.1681158,0.333333333,0.82853694
0.226083755,0.066666667,0.888029533
0.47729195,0.333333333,0.830803364
0.339793645,0.833333333,0.378106197
0.305315645,0.066666667,0.903568096
0.73184973,1.0,0.105764587
0.043936965,0.333333333,0.792121976
0.253199015,0.5,0.718493511
0.18568624,0.333333333,0.83253501
0.18676046,0.5,0.721151621
0.80612823,1.0,0.031347981
0.111733995,0.833333333,0.427853265
0.19223644,0.066666667,0.878640332
0.65933331,0.333333333,0.675635862
0.420470375,0.066666667,0.906301934
0.00633858,0.833333333,0.20722961
0.261903225,0.5,0.717705772
0.002494735,0.833333333,0.112581259
0.510392705,0.833333333,0.33739202
0.188037885,0.066666667,0.877207091
0.17216619,0.066666667,0.871860158
0.01192784,0.333333333,0.508959215
0.189759455,0.066666667,0.877904601
0.259961655,0.833333333,0.393056229
0.518660895,0.833333333,0.33499825
0.90782712,0.5,0.580271669
0.039239275,0.333333333,0.790848548
0.11779974,0.5,0.720295616
0.410655285,0.333333333,0.835295636
0.327763895,0.5,0.712384025
0.52230223,0.333333333,0.825928155
0.07117559,1.0,0.273662018
0.628478155,1.0,0.161789337
0.173092315,0.333333333,0.830071981
0.43838419,0.5,0.700833814
0.017296485,0.066666667,0.604691459
0.56143834,0.833333333,0.320619807
0.39092083,0.5,0.705908842
0.00217779,1.0,0.075122454
0.22528459,0.333333333,0.837839009
0.000722995,0.066666667,0.003795161
0.14426515,0.333333333,0.823742231
0.239858365,0.5,0.719211033
0.090582885,0.333333333,0.807447928
0.069098795,1.0,0.274042253
0.37441943,0.066666667,0.909940923
0.63107423,0.833333333,0.289011742
0.274555045,0.066666667,0.898178599
0.61564154,0.5,0.681585274
0.616230375,0.333333333,0.773739156
0.00591812,0.5,0.229957555
0.348170495,0.833333333,0.376355224
0.000323,1.0,0.002017222
0.357657565,1.0,0.225185727
0.49869735,0.5,0.69464451
5.95e-05,0.066666667,0.002069342
0.251378105,0.066666667,0.893833922
0.75827381,0.5,0.660928285
0.23385543,0.833333333,0.398950136
0.30765349,0.5,0.713731663
0.473231125,0.5,0.697523469
0.82401368,0.5,0.642232515
0.23044851,0.5,0.71930153
-0.001742265,0.833333333,0.000351883
0.51766437,0.5,0.692683778
0.00166075,0.5,0.062563681
0.427252435,0.066666667,0.903983789
0.421517125,1.0,0.215215253
0.119045915,0.066666667,0.853332691
0.000185,0.5,0.00190782
0.33764993,0.333333333,0.840104328
0.09765882,1.0,0.26817929
5.8e-05,0.066666667,0.00263485
0.000109,0.333333333,0.001535852
0.196293625,0.066666667,0.879589354
0.60453836,0.333333333,0.787785568
0.29036366,0.066666667,0.901016086
0.627087145,0.833333333,0.291439002
0.021593795,0.066666667,0.744592268
0.55754352,0.5,0.688332493
0.05057872,0.066666667,0.825971439
0.031440475,0.066666667,0.813098297
0.42084801,0.5,0.703179709
0.54047515,0.833333333,0.327846138
0.580917595,1.0,0.17812948
0.43087816,0.333333333,0.83480075
0.09089467,0.833333333,0.434263584
0.09990148,1.0,0.267691606
0.96049087,0.5,0.482330415
0.207926745,0.5,0.720834709
0.02646213,0.066666667,0.796118296
0.5420207,1.0,0.189799321
0.20494572,1.0,0.248063865
0.412099975,0.5,0.703785681
0.166469685,0.833333333,0.413696551
0.44569944,1.0,0.210871944
0.757748805,1.0,0.084627027
0.01233214,0.833333333,0.349513788
0.25598386,0.833333333,0.393826358
0.00690492,0.333333333,0.317405169
0.033843565,0.833333333,0.447968912
0.018343785,0.066666667,0.643158645
0.350115835,0.333333333,0.839896071
0.69260694,0.5,0.671855765
0.499879675,0.066666667,0.833066621
0.64732593,0.5,0.67768599
0.424702415,1.0,0.214669502
0.711695035,0.5,0.668776107
0.156653135,0.333333333,0.826355372
0.902230205,0.5,0.586928538
0.46269157,0.833333333,0.350756252
0.105144185,0.5,0.719113902
-0.00121594,0.833333333,0.000357985
0.231340985,0.5,0.719311522
0.11163237,0.066666667,0.850253472
0.065168895,0.333333333,0.799230223
0.17726962,0.833333333,0.410920014
0.013463395,0.5,0.508219202
0.83180436,0.5,0.638563493
0.084106335,0.333333333,0.805740019
0.000143,1.0,-0.004467094
0.622128645,0.5,0.680694867
0.70102143,0.5,0.670526752
0.09706682,0.5,0.718154503
0.38459085,0.833333333,0.368439843
0.19707493,1.0,0.249562727
0.052612865,0.5,0.71239152
0.01040636,0.833333333,0.306932328
0.27887717,1.0,0.236747952
0.62335944,0.333333333,0.761894827
0.160754375,0.066666667,0.868415352
0.326733235,0.5,0.712505466
0.014290015,0.066666667,0.483241561
0.01814427,0.333333333,0.703865175
0.256129305,0.5,0.718227384
0.329223395,0.333333333,0.840151762
0.26162343,0.066666667,0.896002322
0.483656555,0.066666667,0.852958284
0.658215105,1.0,0.149451911
0.01023824,0.833333333,0.302803355
0.01140748,0.833333333,0.330374165
0.359631925,0.066666667,0.909204544
0.015350565,0.833333333,0.38674385
0.284092475,0.833333333,0.388632211
0.55627685,0.5,0.688329792
0.82365926,1.0,0.016800162
0.588184125,1.0,0.176061726
0.000636375,0.833333333,0.049036919
0.648599035,0.5,0.677402481
0.278264375,0.5,0.716440613
0.529959265,1.0,0.192810436
0.513176755,0.333333333,0.827096271
0.78111035,0.5,0.65555917
0.890711595,0.5,0.599189807
0.105011095,0.066666667,0.847785106
0.0243164,0.333333333,0.775485013
0.416880125,0.333333333,0.835510447
0.38833162,0.066666667,0.910599881
0.754157425,1.0,0.08803743
0.5452443,0.5,0.689714632
0.16481371,0.333333333,0.827813609
0.24722358,0.066666667,0.892921976
0.10818341,0.833333333,0.428516097
0.0900013,0.5,0.7174453
0.442458885,1.0,0.211469115
0.22737122,1.0,0.244697034
0.222667445,0.066666667,0.887101431
0.254760545,0.066666667,0.89429718
0.099307195,0.066666667,0.845838472
0.724902355,1.0,0.110939926
0.226736925,0.5,0.719727672
0.29525681,0.333333333,0.840895589
0.497909175,0.066666667,0.835706753
0.379781515,0.066666667,0.909586776
0.011977955,0.833333333,0.341995411
0.15215307,0.5,0.721715223
0.677627145,0.833333333,0.259559817
0.38012413,1.0,0.221760202
0.29214512,0.066666667,0.901442312
0.32555567,0.333333333,0.840401676
0.27884404,0.833333333,0.389885683
0.52827215,0.833333333,0.331642197
0.10662284,0.066666667,0.848500282
0.35003986,0.066666667,0.908313281
0.362353155,1.0,0.224456498
0.323672,0.5,0.712802199
0.58985295,0.5,0.68472219
0.67750297,1.0,0.140033336
0.07718804,0.333333333,0.803240489
0.089710485,1.0,0.269818259
0.114094395,0.833333333,0.427322753
0.427607255,0.333333333,0.835156802
0.426524595,0.333333333,0.835268425
0.081987555,0.5,0.716864818
0.93703717,0.5,0.538231172
0.435129015,0.5,0.700977598
0.077138255,0.833333333,0.438396813
0.29629993,0.833333333,0.386450836
0.063581825,0.5,0.71451503
0.00519552,0.5,0.20359342
0.01967179,0.5,0.677301594
0.57754152,0.833333333,0.314317489
0.31159155,0.5,0.713208979
0.01668374,0.066666667,0.581118915
0.533419865,0.833333333,0.330023535
0.288072065,0.833333333,0.387843782
0.00240775,0.066666667,0.027575927
0.54897265,0.5,0.689030244
0.151217475,0.5,0.721663592
0.70372175,0.5,0.669825261
0.740175855,0.5,0.663600163
0.00410707,0.5,0.160381529
0.00961531,0.833333333,0.290219108
0.246600825,0.5,0.718718073
0.092633005,0.5,0.717414377
0.847655875,1.0,0.004020053
0.245758475,1.0,0.241837989
0.652942495,1.0,0.151809063
0.227901815,0.333333333,0.838282717
0.227646425,0.5,0.719671119
0.431236585,1.0,0.213656723
-0.00117408,0.833333333,-0.000275418
0.15256127,0.333333333,0.825450567
0.33957988,0.333333333,0.840183206
0.063070765,0.066666667,0.831277899
0.17191205,1.0,0.254211138
0.15501281,0.333333333,0.825970108
0.85949955,1.0,-0.000121274
0.62496041,1.0,0.163374541
0.04724413,0.5,0.712160844
0.804996045,0.833333333,0.0
0.002372,1.0,0.087338115
0.01674118,1.0,0.278070113
0.202360875,1.0,0.248473623
0.027824675,0.333333333,0.784935145
0.014528505,0.5,0.541956302
0.04083657,0.5,0.711306658
0.80912079,0.5,0.647352577
0.175865245,1.0,0.253498071
0.31835846,0.066666667,0.905523709
0.000501735,0.833333333,0.043886129
0.475523975,0.5,0.697183402
0.015680045,0.066666667,0.540323268
0.68099631,1.0,0.13812604
0.074801535,0.833333333,0.439152838
0.30071117,0.333333333,0.841193272
0.171448905,0.333333333,0.829633103
0.42134441,0.833333333,0.360302859
0.10688688,1.0,0.266224032
0.250179915,1.0,0.241145079
0.24972643,0.066666667,0.893476106
0.205723855,0.333333333,0.835481334
0.871452035,0.5,0.616239724
0.008916945,0.833333333,0.272939426
0.31578206,1.0,0.231022611
0.016764245,0.333333333,0.66859752
0.006867255,0.833333333,0.221791172
0.01015806,0.333333333,0.442950394
0.054441345,1.0,0.27655423
0.55834105,0.333333333,0.818934446
0.187176275,0.066666667,0.877158607
0.108263185,0.066666667,0.84912703
0.38322393,0.333333333,0.83818348
0.281436065,0.833333333,0.389217991
0.81507583,1.0,0.023425459
0.352579235,0.833333333,0.375478953
0.15421376,0.333333333,0.825795037
0.450601455,0.5,0.699824408
0.21184394,1.0,0.247190878
0.18067135,0.333333333,0.831519947
0.32131569,0.833333333,0.381519209
0.8292328,0.5,0.639702945
0.093333005,0.066666667,0.843087267
0.89659252,0.5,0.59356212
0.01857579,0.833333333,0.405001165
0.520991795,0.333333333,0.826107263
0.342175895,0.066666667,0.907689588
0.34254478,0.833333333,0.377597537
0.17895181,0.333333333,0.831215329
0.09878516,1.0,0.268016738
0.16409867,0.066666667,0.869313908
0.2409004,0.333333333,0.839082965
0.630050045,0.5,0.67971882
0.49552047,0.333333333,0.828875648
0.427446835,0.833333333,0.359315432
0.460703965,0.066666667,0.879042477
0.010669445,0.5,0.413448581
0.624933065,0.833333333,0.292491707
0.24518182,0.333333333,0.839428054
0.58601122,0.5,0.685143595
0.128132775,0.833333333,0.422990555
0.48770228,0.066666667,0.848235908
0.73942729,1.0,0.100212621
0.277971465,0.066666667,0.898770841
0.85226373,1.0,0.00237387
0.630589185,0.333333333,0.74960648
0.257181455,0.333333333,0.839957084
0.007365005,0.333333333,0.336261989
0.85773699,0.5,0.625272348
0.129331785,0.333333333,0.819511855
0.3080209,0.066666667,0.903765355
0.294926715,0.833333333,0.386673232
0.137584725,0.333333333,0.8219294
0.1969097,0.833333333,0.406463838
0.34675742,0.833333333,0.376647187
0.214726195,1.0,0.246785153
0.57210211,0.833333333,0.316581475
0.873964115,0.5,0.614239505
0.208845685,0.5,0.72072697
0.209006025,1.0,0.247474489
0.001065935,1.0,0.038104279
0.498004325,0.333333333,0.828558317
0.515266835,0.5,0.692849625
0.17795211,0.066666667,0.874136133
0.07922393,0.5,0.716575304
0.547748055,0.5,0.689326416
0.493786975,0.066666667,0.840874955
0.42894477,0.833333333,0.35897997
0.28857044,0.066666667,0.900764757
0.2988778,0.333333333,0.841046485
0.003861395,1.0,0.155199681
0.43403909,0.066666667,0.90034636
0.959217275,0.5,0.486173252
0.194445215,1.0,0.250146711
0.190467295,1.0,0.250837412
0.01933856,0.833333333,0.408707947
0.43527047,0.333333333,0.834358647
0.23317636,0.5,0.719167908
0.610720265,1.0,0.168709342
0.27298203,1.0,0.237408812
0.174887395,0.833333333,0.411615039
0.547495455,0.333333333,0.821833637
0.86281968,0.5,0.621884459
0.89308091,0.5,0.597063443
0.623003155,0.833333333,0.29346388
0.406691845,0.5,0.70408015
0.118692635,0.5,0.720263669
0.174572665,1.0,0.253783361
0.139251455,1.0,0.260317156
0.671726525,0.833333333,0.263699012
0.37722554,0.333333333,0.838386946
0.01370325,1.0,0.275934487
0.491216025,1.0,0.201497972
0.521473235,1.0,0.195004714
0.22856351,0.5,0.719577289
0.001195175,1.0,0.04409455
0.313664245,0.066666667,0.904531815
0.177237695,0.333333333,0.830924341
0.01057841,0.833333333,0.310709771
0.442007245,0.333333333,0.833801383
0.532797205,0.333333333,0.82435681
0.006951075,0.066666667,0.186216958
0.2287523,0.333333333,0.83841914
0.23658061,0.333333333,0.838813094
0.00924459,0.833333333,0.281572876
0.00706685,0.5,0.273931936
0.090902905,0.5,0.717487942
0.007416495,0.066666667,0.20618046
0.024424365,0.5,0.708256826
0.3276773,1.0,0.229356117
0.074165475,0.066666667,0.835525805
0.637176415,0.333333333,0.73473074
0.73232524,0.5,0.665099305
0.257203885,1.0,0.239773405
0.001124165,0.833333333,0.063999828
0.002847685,0.833333333,0.123155355
0.163065775,0.5,0.721271621
0.554222055,0.333333333,0.820032778
0.663193215,0.333333333,0.662003154
0.45508469,0.5,0.69944678
0.475812415,0.066666667,0.862137538
0.569753305,0.5,0.685747551
0.159906265,0.333333333,0.827162041
0.06690395,0.333333333,0.799904981
0.06568939,0.066666667,0.832305778
7.25e-05,0.066666667,0.002136179
0.12449866,0.333333333,0.818222074
0.751201755,0.5,0.662229999
0.123232285,0.5,0.720314483
0.29106246,0.5,0.715554185
0.432958185,0.5,0.70142356
0.28901732,0.333333333,0.841140386
0.07640058,0.5,0.716289633
0.790375755,0.5,0.652204698
0.01053108,0.066666667,0.335129675
0.63374031,1.0,0.159896253
0.43077704,0.5,0.701899788
0.011243725,0.833333333,0.32642885
0.10391962,0.333333333,0.812226048
0.232927285,1.0,0.243729865
0.001037205,0.5,0.033342544
0.773855455,0.833333333,0.156971255
0.87021201,0.5,0.617175342
0.133169265,0.5,0.72095814
0.12141305,0.5,0.720391445
0.059086725,0.333333333,0.79700067
0.384601615,0.5,0.706905222
0.327367605,0.333333333,0.840286719
0.032744725,0.833333333,0.447316988
0.60083405,0.333333333,0.791945311
0.016589905,0.5,0.606186723
0.08894543,0.333333333,0.807125128
0.81590137,0.5,0.644876664
0.5029588,1.0,0.199395782
0.671049155,0.5,0.674504995
0.15433206,0.833333333,0.416363569
0.755998335,1.0,0.086393334
0.21932012,0.333333333,0.837541758
0.265082545,0.066666667,0.896434363
0.471655065,1.0,0.20587197
0.014249385,0.333333333,0.58629522
0.29387271,0.066666667,0.901818893
0.176297905,0.066666667,0.873437996
0.514655795,1.0,0.196432211
0.0533296,0.066666667,0.827035147
0.57337208,0.5,0.685962345
0.1640685,1.0,0.255489411
0.405620695,0.333333333,0.836273439
0.59495001,0.5,0.683988803
0.412629065,0.833333333,0.362932339
0.215056585,0.066666667,0.885250358
0.789155925,1.0,0.048810904
0.154227765,0.066666667,0.866149485
0.486510875,0.833333333,0.344229529
0.28606269,0.5,0.716084658
0.159105385,0.066666667,0.867872529
0.012368055,0.333333333,0.524874886
0.81161705,1.0,0.026488106
